Feature,Importance
Frame,0.0310320597037549
Minerals,0.012864078745645451
Gas,0.027178129658060293
Supply,0.021923635467265286
TotalMinerals,0.02002720291214467
TotalGas,0.028578178220668063
TotalSupply,0.03434885093992544
GroundUnitValue,0.020002041751175217
BuildingValue,0.04365821235906439
AirUnitValue,0.04644898960177426
ObservedEnemyGroundUnitValue,0.02880065960606343
ObservedEnemyBuildingValue,0.07444595542708068
ObservedEnemyAirUnitValue,0.035407093159622066
EnemyMinerals,0.012717827654446593
EnemyGas,0.02839494353640548
EnemySupply,0.018844697440544282
EnemyTotalMinerals,0.022086943569832037
EnemyTotalGas,0.030701190905620984
EnemyTotalSupply,0.03547860111302933
EnemyGroundUnitValue,0.019701535460527973
EnemyBuildingValue,0.042092259656170826
EnemyAirUnitValue,0.04683252397371617
EnemyObservedEnemyGroundUnitValue,0.031422462157651244
EnemyObservedEnemyBuildingValue,0.07746372304089011
EnemyObservedEnemyAirUnitValue,0.03580940211613833
ObservedResourceValue,0.05984513844558296
EnemyObservedResourceValue,0.062202107707133504
indexedRaces,0.05169155567006615
