Feature,Importance
Frame,0.030477133950981887
Minerals,0.012722620790839344
Gas,0.027976144030582618
Supply,0.022498908794567098
TotalMinerals,0.020058606929097996
TotalGas,0.02931846302170712
TotalSupply,0.03366222806508667
GroundUnitValue,0.022299688221580613
BuildingValue,0.04310414216743056
AirUnitValue,0.04674512169532867
ObservedEnemyGroundUnitValue,0.02942338314836744
ObservedEnemyBuildingValue,0.07283545208551984
ObservedEnemyAirUnitValue,0.03346236150390758
EnemyMinerals,0.012097712292420204
EnemyGas,0.027533728814316812
EnemySupply,0.01981841847264847
EnemyTotalMinerals,0.022568520350457602
EnemyTotalGas,0.03105512915177547
EnemyTotalSupply,0.03414012457618521
EnemyGroundUnitValue,0.020781172282784817
EnemyBuildingValue,0.04239033169557115
EnemyAirUnitValue,0.04363082161564956
EnemyObservedEnemyGroundUnitValue,0.031176411158338625
EnemyObservedEnemyBuildingValue,0.07599553379139079
EnemyObservedEnemyAirUnitValue,0.03660508460034278
ObservedResourceValue,0.06436766250995199
EnemyObservedResourceValue,0.06148477972718666
indexedRaces,0.05177031455598259
