PA,PB
-2.9191798621179785,-2.9364176404044073
-6.346093079836944,-6.21066963254518
-6.544103443442587,-6.533073060999705
-7.793548176757557,-7.708320591056985
-3.0580016370695127,-3.0456629619930524
-4.138671929278846,-4.139773897970787
-7.541710334172965,-7.502507769184884
-4.3836979202369335,-4.30798269463423
-4.37198512316251,-4.3068554644115515
-5.878539485467233,-5.780386346269772
-4.776713625470606,-4.8596332310847465
-4.743088270801486,-4.809836745563992
-6.1927182860972,-6.397127780182444
-6.2034168147432815,-6.429864606028495
-6.486468229646494,-6.580230688173188
-7.719037065393998,-7.827773909415683
-3.033107043268423,-3.077068039387882
-4.11990037225376,-4.1643139727995475
-7.509689479641086,-7.562378704410108
-4.31718257256907,-4.409502130307452
-4.307325057813241,-4.3998336319666755
-5.781334059527545,-5.985015663590854
-4.837151187528956,-4.770865291761634
-4.789411858720843,-4.735145399866305
-6.285231794289469,-6.21699214569572
-1.0266751245527352,-1.0254411530722898
-1.0307861245612955,-1.018886124678815
-12.735449118612777,-12.711986823043496
