Feature,Importance
Frame,0.01753137001841247
Minerals,0.018112992884144512
Gas,0.010588684422375172
Supply,0.13453197365406847
TotalMinerals,0.019881335571306915
TotalGas,0.017759381236369987
TotalSupply,0.03241811493520123
GroundUnitValue,0.06566079291284453
BuildingValue,0.044723976679814474
AirUnitValue,0.024874837878760946
ObservedEnemyGroundUnitValue,0.028117117739412157
ObservedEnemyBuildingValue,0.025410082746135036
ObservedEnemyAirUnitValue,0.023562236256658424
EnemyMinerals,0.016152207855047312
EnemyGas,0.01780557840360148
EnemySupply,0.1466000308385059
EnemyTotalMinerals,0.018728572149675705
EnemyTotalGas,0.01811274506421267
EnemyTotalSupply,0.036838347670371044
EnemyGroundUnitValue,0.07020914317436779
EnemyBuildingValue,0.048818045396441724
EnemyAirUnitValue,0.03458605960465647
EnemyObservedEnemyGroundUnitValue,0.032658339147267464
EnemyObservedEnemyBuildingValue,0.029118885425340257
EnemyObservedEnemyAirUnitValue,0.01638900418784576
ObservedResourceValue,0.016059715442567336
EnemyObservedResourceValue,0.019371662974483284
indexedRaces,0.015378765730111986
