Feature,Importance
Frame,0.018047985153699053
Minerals,0.018154419960795493
Gas,0.010610533840594067
Supply,0.13400170487542998
TotalMinerals,0.019368521686114984
TotalGas,0.017607118344093408
TotalSupply,0.03242666325916924
GroundUnitValue,0.06570638963763475
BuildingValue,0.04596598533345022
AirUnitValue,0.02424449579516458
ObservedEnemyGroundUnitValue,0.030034422356123542
ObservedEnemyBuildingValue,0.02419103958463836
ObservedEnemyAirUnitValue,0.023358150842246368
EnemyMinerals,0.016311272574156908
EnemyGas,0.018113932272197233
EnemySupply,0.1475078908987766
EnemyTotalMinerals,0.018889479068770466
EnemyTotalGas,0.01791464993777422
EnemyTotalSupply,0.03496666848580911
EnemyGroundUnitValue,0.07124260951583038
EnemyBuildingValue,0.048862769351283815
EnemyAirUnitValue,0.034807761046960796
EnemyObservedEnemyGroundUnitValue,0.03224623615269969
EnemyObservedEnemyBuildingValue,0.02891244753166861
EnemyObservedEnemyAirUnitValue,0.01689312105897792
ObservedResourceValue,0.01579044743686473
EnemyObservedResourceValue,0.019548687680017697
indexedRaces,0.014274596319057812
